timestamp,speed,acceleration,gradient,acc_x,acc_y,acc_z,jerk,turning_rate,power_W,energy_J,energy_factor,driver_cluster
1747221706.0,2.5974299999999997,5.0,-0.0768410349717869,-1.683594,-1.035156,9.6875,-10.0,0.015625,28421.725500788056,28.421725500788057,28421.725500788056,1
1747221707.0,3.034193333333333,5.0,0.1285738123425412,-1.648438,-1.148438,9.804688,-9.096116810978327,0.013672,48390.28221492729,48.39028221492729,48390.28221492729,1
1747221708.0,2.7764566666666664,-5.0,-0.036079578166296554,-0.613281,-0.574219,9.34375,-10.0,0.03125,0.0,0.0,0.0,0
1747221709.0,2.2224,-5.0,-0.24534589988977645,-0.917969,0.382812,9.542969,-10.0,0.042969,0.0,0.0,0.0,0
1747221710.0,0.7582911111111111,-5.0,1.2865781711753665,-1.109375,0.765625,9.582031,-2.068745402819979,0.167969,5353.31224177999,5.35331224177999,5353.31224177999,0
1747221711.0,1.4502188888888887,5.0,1.0729730211639716,-1.570312,1.683594,9.769531,10.0,0.427734,44463.080398259764,44.46308039825976,44463.080398259764,2
1747221712.0,2.618008055555556,5.0,0.1384081885807931,-2.222656,-0.039062,9.421875,-8.65103747429093,0.414062,42363.61923286438,42.36361923286438,42363.61923286438,2
1747221713.0,3.1931563888888888,5.0,0.06121534951876876,-2.644531,-0.652344,9.460938,5.883362928619586,0.277344,45731.71821582885,45.73171821582885,45731.71821582885,2
1747221714.0,3.558412222222222,5.0,0.1292575683868561,-2.871094,-0.804688,9.304688,-8.158422850006618,0.130859,56814.911935711956,56.814911935711955,56814.911935711956,1
1747221715.0,5.626479166666666,5.0,-0.058030776313368365,-3.101562,-1.300781,9.347656,10.0,0.025391,64216.05364560386,64.21605364560386,64216.05364560386,1
1747221716.0,7.188331944444444,5.0,-0.030799949657729687,-2.605469,-1.035156,9.804688,-0.8381845725713832,0.005859,86901.95317228544,86.90195317228545,86901.95317228544,1
1747221717.0,8.140569166666667,5.0,-0.012342800604509459,-1.914062,-0.917969,9.117188,10.0,0.007812,102156.04140250137,102.15604140250137,102156.04140250137,1
1747221718.0,8.667875,5.0,0.05613622732464062,-1.074219,-0.882812,9.117188,-10.0,0.003906,123345.48674680908,123.34548674680909,123345.48674680908,1
1747221719.0,8.635464166666667,-5.0,0.012582391554077659,-0.917969,-0.957031,10.109375,10.0,0.001953,0.0,0.0,0.0,0
1747221720.0,8.355606944444444,-5.0,0.01073444988404638,-0.230469,-0.917969,9.6875,10.0,0.015625,0.0,0.0,0.0,0
1747221721.0,6.944485277777777,-5.0,0.012580161683203264,0.421875,-0.84375,10.152344,4.027425919392483,0.007812,0.0,0.0,0.0,0
1747221722.0,5.543653055555556,-5.0,0.11894645598923075,-2.261719,-1.492188,5.980469,-10.0,0.162109,0.0,0.0,0.0,0
1747221723.0,5.310095277777778,-5.0,-0.059341079563246045,-1.265625,-1.417969,10.839844,7.130938325311501,0.048828,0.0,0.0,0.0,0
1747221724.0,5.669692222222222,5.0,0.037084947320875354,-2.453125,-1.148438,9.230469,-10.0,0.033203,77921.09077588707,77.92109077588708,77921.09077588707,1
1747221725.0,6.771117777777778,5.0,0.0,-2.835938,-0.460938,9.117188,10.0,0.007812,86951.84154686784,86.95184154686784,86951.84154686784,1
1747221726.0,8.18686861111111,5.0,-0.039331454080685585,-2.453125,-0.957031,9.15625,2.1049278535652847,0.023438,97325.35789619913,97.32535789619914,97325.35789619913,1
1747221727.0,9.246624722222222,5.0,-0.01016280028935938,-1.761719,-0.691406,8.078125,-6.485209798353158,0.005859,116618.53333238799,116.618533332388,116618.53333238799,1
1747221728.0,9.642232222222221,5.0,-0.03298031520673051,-1.800781,-1.226562,9.925781,10.0,0.009766,116250.51124043325,116.25051124043326,116250.51124043325,1
1747221729.0,9.565066111111111,-5.0,-0.021684954407708207,-0.460938,-0.957031,9.421875,-10.0,0.009766,0.0,0.0,0.0,0
1747221730.0,8.754301111111111,-5.0,-0.010625178619747565,0.496094,-0.304688,9.5,10.0,0.013672,0.0,0.0,0.0,0
1747221731.0,7.361185833333333,-5.0,-0.0869641918737959,0.882812,-0.535156,9.648438,-10.0,0.03125,0.0,0.0,0.0,0
1747221732.0,5.798817777777778,-5.0,-0.04292600994031498,0.804688,-0.34375,9.925781,-10.0,0.035156,0.0,0.0,0.0,0
1747221733.0,4.012666944444445,-5.0,0.08380437691740043,0.804688,-0.421875,9.847656,0.16228520913693056,0.025391,0.0,0.0,0.0,0
1747221734.0,2.224972222222222,-5.0,0.14121811898536168,0.652344,-0.574219,9.84375,-0.5203017818281643,0.005859,0.0,0.0,0.0,0
1747221735.0,0.7341122222222222,-5.0,0.08779735623763005,-0.230469,-0.613281,9.6875,-4.718583287237695,0.023438,0.0,0.0,0.0,0
1747221736.0,0.15176111111111112,-5.0,0.49061398039313153,-0.957031,-0.691406,9.726562,0.0,0.0,0.0,0.0,0.0,0
1747221737.0,0.1389,-5.0,1.676473246464713,-1.109375,-0.691406,9.648438,-0.2676823205480587,0.003906,1212.026626168697,1.212026626168697,1212.026626168697,0
