timestamp,speed,acceleration,gradient,acc_x,acc_y,acc_z,jerk,turning_rate,energy_factor,driver_cluster
1747223033.0,17.366203,2768.738999999998,0.12460362160435363,-4.289062,-1.457031,9.730469,0.0,0.003906,227108769.14740318,1
1747223034.0,23.975992,6609.7890000000025,0.13134919494925035,-3.601562,-0.496094,8.5,0.0,0.021484,273110578.3939134,1
1747223035.0,28.628216,4652.2239999999965,0.12794140504254448,-3.714844,-0.996094,8.960938,0.0,0.001953,262574922.7988578,1
1747223036.0,32.209984,3581.768,0.12290784147659471,-2.796875,-0.078125,9.195312,0.0,0.056641,255152999.67140535,1
1747223037.0,34.097172,1887.188000000002,0.10024170269502503,-0.804688,-0.574219,9.691406,0.0,0.013672,233892282.83074236,1
1747223038.0,30.463547,-3633.625000000002,0.11592093596037928,-0.957031,-1.035156,9.609375,0.0,0.001953,160958726.76827818,1
1747223039.0,27.198471,-3265.075999999997,0.13407960330490856,-1.035156,-0.917969,9.503906,0.0,0.001953,170078929.03917274,1
1747223040.0,23.468544,-3729.927,-0.07030105143247739,-0.34375,-0.652344,9.847656,0.0,0.009766,170585976.68941814,1
1747223041.0,20.857224,-2611.320000000003,0.052164473561269846,-0.726562,-1.074219,9.578125,0.0,0.083984,184376586.90794277,1
1747223042.0,17.616224,-3240.9999999999995,0.019536258232411733,-0.882812,-0.152344,9.542969,0.0,0.042969,183277810.125844,1
1747223043.0,15.2327,-2383.5239999999994,0.0,-0.882812,-1.148438,9.652344,0.0,0.042969,191937375.42038974,1
1747223044.0,11.560184,-3672.5159999999996,-0.16895207640414536,-1.992188,-0.996094,9.539062,0.0,0.037109,189367843.19686103,1
1747223045.0,12.358396,798.2120000000012,0.0,-1.53125,0.191406,9.386719,0.0,0.060547,211175594.25926188,1
1747223046.0,12.878808,520.4119999999986,0.08259239262478368,-0.460938,0.039062,10.648438,0.0,0.123047,209862315.7636806,1
1747223047.0,11.178672,-1700.1359999999988,0.06343482054285118,-1.109375,-0.84375,9.726562,0.0,0.060547,199149301.04483557,1
1747223048.0,10.152664,-1026.008000000001,0.053216183947259015,0.078125,-0.152344,9.847656,0.0,0.015625,202727118.27129328,1
1747223049.0,5.5097,-4642.964,0.1689580885367758,0.113281,-0.304688,9.808594,0.0,0.013672,196409813.77797326,1
1747223050.0,0.06482,-5444.879999999999,0.0,-1.339844,-0.460938,9.730469,0.0,0.023438,206917609.19287342,1
1747223051.0,1.08342,1018.5999999999999,0.0,-0.726562,-0.152344,9.691406,0.0,0.119141,207524541.96874732,1
1747223052.0,4.002172,2918.7519999999995,0.0,-2.03125,-0.957031,9.5,0.0,0.126953,211932104.2405702,1
1747223053.0,2.461308,-1540.864,-0.8420105787267232,-1.878906,-0.917969,9.582031,0.0,0.097656,205478057.7230485,1
1747223054.0,2.057572,-403.7359999999999,-0.059857847237569234,-1.1875,-0.574219,9.613281,0.0,0.144531,206718137.95192364,1
1747223055.0,2.992832,935.26,0.0,-1.1875,-0.882812,9.765625,0.0,0.167969,208231103.83651012,1
1747223056.0,3.376196,383.36400000000026,0.0,-1.492188,-0.957031,9.578125,0.0,0.1875,207604139.28661922,1
1747223057.0,3.163216,-212.9800000000004,-0.14033500701927057,-0.996094,-1.035156,9.730469,0.0,0.158203,206782323.67678347,1
1747223058.0,3.83364,670.4240000000001,0.1122680056187404,-1.300781,-0.996094,9.578125,0.0,0.166016,208137515.8422718,1
1747223059.0,3.733632,-100.00799999999987,0.1535472964471686,-1.570312,-1.339844,9.609375,0.0,0.111328,206911595.15998235,1
1747223060.0,2.507608,-1226.0240000000001,0.5052059132700335,-1.035156,-1.109375,9.382812,0.0,0.064453,205788409.0548325,1
1747223061.0,2.689104,181.4960000000001,0.3886199332952618,-1.417969,-0.917969,9.542969,0.0,0.021484,207272136.75899178,1
1747223062.0,1.644576,-1044.5279999999998,0.18711330119634992,-0.804688,-1.035156,9.652344,0.0,0.013672,206350232.8089774,1
1747223063.0,2.229808,585.2319999999997,0.0,-1.035156,-0.996094,9.648438,0.0,0.003906,207608512.7130881,1
1747223064.0,2.052016,-177.79199999999972,0.3368039421800233,-2.335938,-1.074219,9.421875,0.0,0.0,206915430.1601305,1
1747223065.0,0.075932,-1976.084,0.0,-0.84375,-0.996094,9.691406,0.0,0.001953,207002146.91305208,1
